Brand: ,Model: ,Model year: ,Condition: ,Transmission: ,Fuel type: ,Engine capacity: ,Mileage: 
Toyota,Harrier,1999,Used,Tiptronic,Petrol,"2,160 cc","181,430 km"
Toyota,Corolla,1998,Reconditioned,Automatic,Petrol,"1,500 cc","110,000 km"
Mitsubishi,Montero,2012,Used,Automatic,Diesel,"2,500 cc","80,000 km"
Suzuki,Swift,2003,New,Automatic,Petrol,"1,300 cc","165,000 km"
Toyota,Axio,2015,New,Automatic,"Petrol, Hybrid","1,500 cc","90,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
BMW,740Le,2018,Used,Tiptronic,Hybrid,"2,000 cc","17,000 km"
,,,,,,,
Mercedes Benz,C200,2018,Used,Tiptronic,Petrol,"1,500 cc","17,000 km"
Isuzu,14.5 Feet lorry,2018,Used,,,,"3,200 km"
Mitsubishi,Canter,2015,Used,,,,"126,000 km"
Honda,Vezel,2014,Used,Tiptronic,"Petrol, Hybrid","1,500 cc","76,000 km"
Tata,Dimo Lokka,2017,Used,,,,"45,000 km"
Mitsubishi,Montero,2012,Used,Automatic,Diesel,"2,500 cc","80,000 km"
Suzuki,Alto,2015,New,Manual,Petrol,800 cc,"46,500 km"
,,,,,,,
Suzuki,Alto,2015,New,Manual,Petrol,800 cc,"46,500 km"
Suzuki,Swift,2003,New,Automatic,Petrol,"1,300 cc","165,000 km"
BMW,740Le,2018,Used,Tiptronic,Hybrid,"2,000 cc","17,000 km"
JAC,Hfc,2017,Used,,,,"47,000 km"
,,,,,,,
Mercedes Benz,C200,2018,Used,Tiptronic,Petrol,"1,500 cc","17,000 km"
Mazda,Familia,1992,Used,Manual,Petrol,"1,500 cc","100,000 km"
Suzuki,S-Cross,2019,Used,Automatic,Petrol,"1,000 cc","13,000 km"
Toyota,Premio,2015,Used,Automatic,Petrol,"1,500 cc","36,000 km"
Nissan,Sunny,2003,Reconditioned,Manual,Petrol,"1,500 cc","87,452 km"
Suzuki,Celerio,2015,Used,Tiptronic,Petrol,"1,000 cc","61,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Toyota,Axio,2018,Used,Automatic,Hybrid,"1,490 cc","5,850 km"
Toyota,Land Cruiser Prado,2015,Used,Automatic,Petrol,"2,700 cc","55,000 km"
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,"2,700 cc","61,000 km"
,,,,,,,
Land Rover,Range Rover,2019,Used,Automatic,Diesel,"2,000 cc","19,000 km"
,,,,,,,
,,,,,,,
Nissan,Tiida,2008,Used,Automatic,Petrol,"1,500 cc","146,000 km"
Toyota,Land Cruiser Sahara,2016,Used,Automatic,Diesel,"4,461 cc","84,000 km"
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","13,100 km"
,,,,,,,
,,,,,,,
,,,,,,,
Suzuki,Wagon R FZ,2017,Used,Automatic,Hybrid,650 cc,"19,400 km"
Toyota,Premio,2018,Used,Automatic,Petrol,"1,500 cc","29,000 km"
Toyota,Land Cruiser Prado,2014,Used,Automatic,Diesel,"3,000 cc","85,000 km"
,,,,,,,
,,,,,,,
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,"2,700 cc","79,000 km"
Toyota,CHR,2018,Used,Automatic,Petrol,"1,200 cc","21,000 km"
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","5,000 km"
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","12,000 km"
Toyota,Land Cruiser Sahara,2013,Used,Automatic,Diesel,"4,461 cc","87,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Land Rover,Discovery,2019,Used,Automatic,Diesel,"2,000 cc","11,000 km"
Toyota,Land Cruiser Sahara,2019,Used,Automatic,Diesel,"4,461 cc","30,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Honda,Fit,2013,Used,Automatic,"Petrol, Hybrid","1,500 cc","59,000 km"
,,,,,,,
,,,,,,,
Toyota,Land Cruiser Prado,2020,New,Automatic,Petrol,"2,700 cc",400 km
Toyota,Land Cruiser Prado,2015,Used,Automatic,Diesel,"2,800 cc","47,000 km"
Mercedes Benz,Other Model,2020,Used,Tiptronic,Petrol,"1,332 cc","5,500 km"
,,,,,,,
,,,,,,,
Toyota,Vitz,2016,Used,Automatic,Petrol,990 cc,"71,600 km"
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","5,000 km"
Toyota,Land Cruiser Prado,2015,Used,Automatic,Petrol,"2,700 cc","89,000 km"
,,,,,,,
Toyota,Axio,2015,Used,Automatic,"Petrol, Hybrid","1,500 cc","82,000 km"
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,"2,700 cc","43,000 km"
,,,,,,,
,,,,,,,
Mitsubishi,Montero,2015,Used,Automatic,Diesel,"3,200 cc","78,000 km"
Toyota,Land Cruiser Sahara,2018,Used,Automatic,Diesel,"4,461 cc","54,000 km"
,,,,,,,
Nissan,Sunny,2001,Used,Automatic,Petrol,"1,300 cc","160,000 km"
Toyota,Land Cruiser Prado,2010,Used,Automatic,Petrol,"2,700 cc","109,000 km"
Toyota,Land Cruiser Prado,2017,Used,Automatic,Diesel,"3,000 cc","61,000 km"
,,,,,,,
Toyota,Axio,2015,Used,Automatic,Petrol,"1,500 cc","78,000 km"
,,,,,,,
